"O-FSS init-a"	"O-FSS MTC"	"O-FSS METC"	"O-FSS MPT"	" -----"	"I-FSS init-a"	"I-FSS MTC"	"I-FSS METC"	"I-FSS MPT"	" -----"	"FTS init-a"	"FTS MTC"	"FTS METC"	"FTS MPT"	"FTS MBTC"	"FTS TIMEOUT"	"C"	"C/N*100"
"1"	"0"	"0"	"0.0"	""	"16"	"66"	"6"	"0.343356"	""	"16"	"128"	"29"	"2.430424"	"11"	"false"	"15"	"46.875"
"1"	"0"	"0"	"0.0"	""	"16"	"101"	"7"	"0.461713"	""	"16"	"103"	"0"	"2.056707"	"7"	"false"	"18"	"56.25"
"1"	"0"	"0"	"0.0"	""	"16"	"151"	"0"	"0.606204"	""	"16"	"58"	"43"	"1.300269"	"1"	"false"	"23"	"71.875"
"1"	"0"	"0"	"0.0"	""	"16"	"85"	"17"	"0.401899"	""	"16"	"19"	"4"	"1.397135"	"2"	"false"	"29"	"90.625"
"1"	"0"	"0"	"0.0"	""	"16"	"82"	"4"	"0.416151"	""	"16"	"26"	"15"	"1.490715"	"6"	"false"	"26"	"81.25"
"1"	"0"	"0"	"0.0"	""	"16"	"75"	"17"	"0.401769"	""	"16"	"49"	"0"	"1.051219"	"1"	"true"	"4"	"12.5"
"1"	"0"	"0"	"0.0"	""	"16"	"138"	"29"	"0.623212"	""	"16"	"64"	"0"	"1.580456"	"3"	"false"	"4"	"12.5"
"1"	"0"	"0"	"0.0"	""	"16"	"105"	"0"	"0.463151"	""	"16"	"72"	"3"	"1.820884"	"2"	"false"	"8"	"25.0"
"1"	"0"	"0"	"0.0"	""	"16"	"220"	"16"	"0.806089"	""	"16"	"77"	"0"	"1.561327"	"5"	"false"	"14"	"43.75"
"1"	"0"	"0"	"0.0"	""	"16"	"84"	"0"	"0.40133"	""	"16"	"95"	"13"	"2.138438"	"3"	"false"	"8"	"25.0"
